step,phase,x,y,z
272,warmup,-10.681913,-12.261448,27.919133
273,warmup,-10.839867,-12.147472,28.484380
274,warmup,-10.970627,-11.973491,29.041566
275,warmup,-11.070914,-11.739489,29.580691
276,warmup,-11.137771,-11.447098,30.091542
277,warmup,-11.168704,-11.099675,30.564052
278,warmup,-11.161801,-10.702307,30.988701
279,warmup,-11.115852,-10.261691,31.356906
280,warmup,-11.030436,-9.785926,31.661396
281,warmup,-10.905985,-9.284199,31.896522
282,warmup,-10.743806,-8.766403,32.058482
283,warmup,-10.546066,-8.242703,32.145434
284,warmup,-10.315729,-7.723096,32.157503
285,warmup,-10.056466,-7.216988,32.096664
286,warmup,-9.772518,-6.732839,31.966527
287,warmup,-9.468550,-6.277881,31.772054
288,warmup,-9.149483,-5.857943,31.519223
289,warmup,-8.820329,-5.477373,31.214682
290,warmup,-8.486034,-5.139054,30.865413
291,warmup,-8.151336,-4.844503,30.478437
292,warmup,-7.820652,-4.594032,30.060571
293,warmup,-7.497990,-4.386942,29.618239
294,warmup,-7.186886,-4.221737,29.157351
295,warmup,-6.890371,-4.096342,28.683233
296,warmup,-6.610968,-4.008302,28.200600
297,warmup,-6.350701,-3.954957,27.713572
298,warmup,-6.111127,-3.933598,27.225711
299,warmup,-5.893374,-3.941579,26.740079
300,warmup,-5.698195,-3.976415,26.259302
301,warmup,-5.526017,-4.035840,25.785638
302,warmup,-5.376999,-4.117847,25.321042
303,warmup,-5.251084,-4.220716,24.867231
304,warmup,-5.148047,-4.343013,24.425738
305,warmup,-5.067544,-4.483588,23.997966
306,warmup,-5.009148,-4.641557,23.585228
307,warmup,-4.972389,-4.816284,23.188791
308,warmup,-4.956778,-5.007353,22.809907
309,warmup,-4.961836,-5.214541,22.449847
310,warmup,-4.987106,-5.437785,22.109921
311,warmup,-5.032174,-5.677152,21.791511
312,warmup,-5.096672,-5.932802,21.496088
313,warmup,-5.180285,-6.204957,21.225235
314,warmup,-5.282752,-6.493860,20.980663
315,warmup,-5.403863,-6.799735,20.764233
316,warmup,-5.543450,-7.122749,20.577969
317,warmup,-5.701380,-7.462958,20.424069
318,warmup,-5.877538,-7.820261,20.304919
319,warmup,-6.071810,-8.194340,20.223093
320,warmup,-6.284063,-8.584595,20.181355
321,warmup,-6.514116,-8.990078,20.182647
322,warmup,-6.761713,-9.409409,20.230067
323,warmup,-7.026482,-9.840695,20.326836
324,warmup,-7.307903,-10.281442,20.476242
