timestamp_utc,profile,coord_x,coord_y,nbytes,dt,warmup,quant_k,size,scale,seed_strategy,memory_type,chaos_engine,perturbation_type,perturbation_target,perturbation_bit_index,perturbation_skipped,perturbation_skip_reason,token_fingerprint_base,token_fingerprint_perturbed,field_fingerprint_base,field_fingerprint_perturbed,keystream_sha256_base,keystream_sha256_perturbed,hamming_distance_bits,hamming_distance_ratio
2026-05-17T10:42:02.788950+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,4,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0c3486be98ab2b78b3775cde6783a808440b7a3925e48400a86ebb44a6ae62e,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,8da5935785667b59421fd3dd0e0fb3720a074563868d96fa7ac65567a31b748a,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,dce0044b74425babc83fc8a28149b6dea30d57f96293139f083bb99838dc9654,1048331,0.49988317489624023
2026-05-17T10:42:03.804120+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,5,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,7e32a729b1226ed1270f282a8c63054d09b26bc9ec53ea69771ce38158dfade8,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,46a587184f07831b0e24b8eebcf1d0eec9d0bfb9b23210dabade6c1f84726c9d,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,d6cd1857c05eac9312817e07a3cd9fc00bb55c2a52e043860a37ed5afd759977,1047175,0.4993319511413574
2026-05-17T10:42:04.694982+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,6,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,1b1d119f9406ef6ad3d1e6937fc99b9b2a09dd364a7e6093b2f6664c2bf13e77,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,632cdfbfe9955e67434ebb3c9314b2ab8c2fe6ba3bd2351fb599994dcddabc27,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,abea2026aa483b55bb68d61d64b6dc28494985afe74d9738ff6757afccc3d040,1050071,0.5007128715515137
2026-05-17T10:42:05.510039+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,lorenz,token_bit_flip,token,7,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,5fea525d0f2ab175198c54a14193227195c6e20a4b9a298c02c4e1abad843c3d,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,97a93e0f0fc6efa14894eca42d077d830404c3484452afefabdfb5afcf8e27f3,ea892f6ff3f745aaa7d78d99620cf07f0e93e6fb6ecd465db87ac3b2fd35876c,d67ddaceaf89b6352d23703e3606ff12a12f2f28deabdcb277e48f781518d1d0,1048361,0.49989748001098633
2026-05-17T10:42:05.826928+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,0,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,8c2a5e5148fec1b3b41d60a555223e9214db268b2bdb1f5164579adf98dbc7f2,1047863,0.49966001510620117
2026-05-17T10:42:06.259726+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,1,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,1e00f08c5bd8992a0efc8a81ae903ec169f1ea1ea274fdcf98d1ea611d960618,1050243,0.5007948875427246
2026-05-17T10:42:06.634483+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,2,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,9816ef39cfe5519424d635141a24994de6258177296405a6585689bc22a115cd,1048398,0.49991512298583984
2026-05-17T10:42:07.129367+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,3,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,3a69799f0b2f32e51f0b4670d930ee3f8c7781ab32f7f66aa8a4eaaaa5fe0722,1047994,0.4997224807739258
2026-05-17T10:42:07.704406+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,4,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,5b3aff76ffc45673019f83e123e97375b7c6f86b5355dd809d558b0df169bde1,1047717,0.4995903968811035
2026-05-17T10:42:08.321524+00:00,alice,12,34,262144,0.01,100,100000.0,128,0.1,neighborhood3,opensimplex,rossler,coord_x_bit_flip,coord_x,5,False,,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,2bb80d537b1da3e38bd30361aa855686bde0eacd7162fef6a25fe97bf527a25b,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,e0e02ef8ed5c2cd3b3b86039fb6e6dccba9930092109da24c9141265a77b6d48,01e73ad8d93d79098c901a2cc068087e46d9f47b360d0610ee62c7ad1d5dadb6,34c9ea32f842820603547f2a5374d6e4f937a7de106e651ff4543034e1b2c181,1048292,0.4998645782470703
